Pinche megacable no se ve ningun canal pero eso si el que se ve es donde se ve la programacií_n que tienen malditos,0,1,megacable
Movistar me acaba de cagar el dí€Œ_a í‰Œåí‰Œå http://y.ahoo.it/UwppTB9W,0,1,movistar
Gracias a movistar no pudimos ller esto ayer / RT @andieaguilera: HOY en la @Zona058 presentamos a @channelband (cont) http://tl.gd/bmhs7b,0,1,movistar
Hoy movistar a estado de un calembe.... Bueno maj de lo normal #QeMunga :),0,1,movistar
Telcel Un celular q nos vendieron no funcionaba y tuvimos q esperar hasta q vencií_ el plazo para que nos dieran otro. Eso si cobran muy bien,0,1,telcel
vaí_na si ?RT @soyunbarroso: Que verga tan arrecha con Movistar y estos megas que no me duran ni medio dí_a.,0,1,movistar
"Ya estoy bien harta de la conexcion de internet de telmex, me llaman para ver que pasa, pero no me dan solucion, ni lo que pago!",0,1,telmex
aaa vamos a ver si me llevan a starbucks,1,0,starbucks
"Cortamos Movistar x mal servicio y cobros indebidos. Mi viejo quiso reponerlo por Copa Amí©rica y le dijeron: No, estíç castigado x 3 meses.",0,1,movistar
Ya estoy mamado de Telmex antes tení_an un excelente servicio ahora lo estoy dudando mucho ?,0,1,telmex
movistar asi o mas mierdero? ni equipos tienen :s,0,1,movistar
#FF para @Presid_Movistar por su gran desempeí±o en Movistar :D,1,0,movistar
Maldito telcel que no manda mis pins a @iitziieCordova desde las 5pm D:,0,1,telcel
"Que bueno que voy a estar cerca de un Starbucks, tengo que pasar y agarrar provisiones de edulcorante",1,0,starbucks
#Telcel me has dejado pobre..!! #TuMuyMal jajaja,0,1,telcel
mejor me cambio a TELCEL por que en MOVISTAR  no me cortan en una llamadas : ose cuando se termino,0,1,telcel
@sof_roso: Definitivamente el PEOR servicio en mexico lo encuentras en #thehomedepot//// no el peor es en @telcel,0,1,telcel
Desde que #claro compro #telmex este servicio es una #mierda...,0,1,telmex
Movistar me va sacar canas azules.,0,1,movistar
"Estoy jodido, sin #Telmex sin #Infinitum y mi #Iusacell trabaja como si el internet fuera de conexion telefonica de los 90,s #nomamar",0,1,telmex
por fin me libre de la asquerosidad de servicio de @telcel eso merece un festejito jijiji,0,1,telcel
Movistar decide ponerse idiota justo ahora.,0,1,movistar
Ganadores de premios MOVISTAR en la Plaza Alfredo Sadel disfruta  todos los partidos de fí_tbol http://twitpic.com/5n80b4,1,0,movistar
Movistar te odio te odio te odio te odio,0,1,movistar
Llamadas y mensajes gratis los fines de semana en Movistar http://goo.gl/RTh4f,1,0,movistar
ŒçŒçŒçŒçBatista pone al nenito de la propaganda de Movistar QUE LA ROMPE !!!!!,0,1,movistar
ah me re lleva la chingada con @iusacell que no me dan mi nip de portabilidad para cambiarme de compaí±ia!!,0,1,iusacell
TODO EL DIA LLAMANDO A MOVISTAR Y NO T ATIENDEN! Y EN CASA CENTRAL (SAN JUAN) T DICEN FUE UN ERROR EN EL SISTEMA!,0,1,movistar
"La informacií_n míçs relevante del dí_a, hoy a las 8:30 pm con Mario Romero, canal 210 de MEGACABLE.",1,0,megacable
#Netflix llegaríç a Mí©xico!! yey!!! bye Megacable!! jejeje,0,1,megacable
"Estíç ganando mi mal humor por la falta de #plandedatos de #telcel, así_ que se me hace que me voy a ir a mi casa a rumiar mi enojo.",0,1,telcel
